Sample;Drug;Status;Model;ED;Estimate;Std. Error
OVCAR-8 R2;Selumetinib (AZD6244);responder;LL.4;50;7691,86095500143;3607,34548944143
OVCAR-8 R2;Selumetinib (AZD6244);responder;LL.4;90;17357,6559171059;16517,7490051099
OVCAR-8 R2;Simvastatin (MK 733);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Sorafenib (Nexavar);responder;LL.4;10;2814,24987713978;553,861064956974
OVCAR-8 R2;Sorafenib (Nexavar);responder;LL.4;50;8799,96297417503;2709,90079090616
OVCAR-8 R2;Sorafenib (Nexavar);responder;LL.4;90;27516,8701172888;18572,4645540549
OVCAR-8 R2;Tamoxifen (ICI 46474);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Temsirolimus (CCI-779);non-responder;lm;NA;NA;NA
OVCAR-8 R2;TNKS1/2 inhibitor (OM-153);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Trametinib (GSK1120212);responder;LL.4;10;46,5809539967306;410,578384776813
OVCAR-8 R2;Trametinib (GSK1120212);responder;LL.4;50;67,7186059018481;183,982409621218
OVCAR-8 R2;Trametinib (GSK1120212);responder;LL.4;90;98,4481680132976;333,136665798633
OVCAR-8 R2;Vemurafenib (PLX4032);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Venetoclax (ABT-199);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Vinorelbine ditartrate (Navelbine);responder;LL.4;10;85,4761446550943;23,0065461077454
OVCAR-8 R2;Vinorelbine ditartrate (Navelbine);responder;LL.4;50;237,916760928821;75,0870085416823
OVCAR-8 R2;Vinorelbine ditartrate (Navelbine);responder;LL.4;90;662,224359314131;393,731230921373
OVCAR-8 R2;Vismodegib (GDC-0449);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Volasertib (BI 6727);responder;LL.4;10;841,803168831152;NA
OVCAR-8 R2;Volasertib (BI 6727);responder;LL.4;50;918,822362353105;NA
OVCAR-8 R2;Volasertib (BI 6727);responder;LL.4;90;1002,88828174924;NA
