Sample;Drug;Status;Model;ED;Estimate;Std. Error
OVCAR-8 R1;Abemaciclib (LY2835219);responder;LL.4;10;1325,90255163941;994,535259741063
OVCAR-8 R1;Abemaciclib (LY2835219);responder;LL.4;50;6839,47059989038;3123,01453165922
OVCAR-8 R1;Abemaciclib (LY2835219);responder;LL.4;90;35280,3892178396;21859,4562598067
OVCAR-8 R1;Adavosertib (MK-1775);responder;LL.4;10;257,239330378125;69,3157740734625
OVCAR-8 R1;Adavosertib (MK-1775);responder;LL.4;50;555,678377236276;81,7585853505567
OVCAR-8 R1;Adavosertib (MK-1775);responder;LL.4;90;1200,35477651904;241,600036732912
OVCAR-8 R1;Afatinib (BIBW2992);responder;LL.4;10;1619,7730249881;338,486209603035
OVCAR-8 R1;Afatinib (BIBW2992);responder;LL.4;50;4160,34637301193;559,18137878068
OVCAR-8 R1;Afatinib (BIBW2992);responder;LL.4;90;10685,7452719715;3606,82748178009
OVCAR-8 R1;Alectinib (CH5424802);responder;LL.4;10;8190,67186711895;37362,6825727064
OVCAR-8 R1;Alectinib (CH5424802);responder;LL.4;50;44598,2579617847;283473,445712619
OVCAR-8 R1;Alectinib (CH5424802);responder;LL.4;90;242837,784920997;2000343,31678702
OVCAR-8 R1;Alpelisib (BYL719);responder;LL.4;10;162,740285166075;286,49313934397
OVCAR-8 R1;Alpelisib (BYL719);responder;LL.4;50;2584,32886381918;5126,89881566451
OVCAR-8 R1;Alpelisib (BYL719);responder;LL.4;90;41039,3509483734;168428,404380698
OVCAR-8 R1;AZD7762;responder;LL.4;10;93,2796485840266;57,9958478005418
OVCAR-8 R1;AZD7762;responder;LL.4;50;305,385948827547;55,4028752394198
OVCAR-8 R1;AZD7762;responder;LL.4;90;999,795551944982;743,103919715264
OVCAR-8 R1;AZD8055;responder;LL.4;10;72,0502974879034;245,988084112909
OVCAR-8 R1;AZD8055;responder;LL.4;50;134,94140312513;36,5377245190083
OVCAR-8 R1;AZD8055;responder;LL.4;90;252,728759106594;728,209227209376
OVCAR-8 R1;Binimetinib (MEK162);responder;LL.4;10;0,950798122237409;3,00201166258857
OVCAR-8 R1;Binimetinib (MEK162);responder;LL.4;50;285,177847163146;523,602793122953
OVCAR-8 R1;Binimetinib (MEK162);responder;LL.4;90;85534,8812860824;369654,356012727
OVCAR-8 R1;Carboplatin (NSC 241240);responder;LL.4;10;4274,91219542774;33406,0241906939
OVCAR-8 R1;Carboplatin (NSC 241240);responder;LL.4;50;4671,41748134347;15842,8381788636
OVCAR-8 R1;Carboplatin (NSC 241240);responder;LL.4;90;5104,69929846545;5320,90365122481
OVCAR-8 R1;Cerdulatinib (PRT062070, PRT2070);responder;LL.4;10;18380,9578126615;NA
OVCAR-8 R1;Cerdulatinib (PRT062070, PRT2070);responder;LL.4;50;20707,6693472048;NA
OVCAR-8 R1;Cerdulatinib (PRT062070, PRT2070);responder;LL.4;90;23328,9023435867;NA
OVCAR-8 R1;Cobimetinib;responder;LL.4;10;12,5344386226903;14,181522867409
OVCAR-8 R1;Cobimetinib;responder;LL.4;50;715,58509123112;436,597108641406
OVCAR-8 R1;Cobimetinib;responder;LL.4;90;40852,4097653082;65903,6458413592
OVCAR-8 R1;Crizotinib (PF-02341066);responder;LL.4;10;1891,53471502945;518,87009418409
OVCAR-8 R1;Crizotinib (PF-02341066);responder;LL.4;50;6101,29316714142;935,920589186885
OVCAR-8 R1;Crizotinib (PF-02341066);responder;LL.4;90;19680,1983149578;6410,36203578705
OVCAR-8 R1;Cucurbitacin I (JSI-124);responder;LL.4;10;59,1445842661999;58,6744257161331
OVCAR-8 R1;Cucurbitacin I (JSI-124);responder;LL.4;50;185,860322203516;57,1024043380473
OVCAR-8 R1;Cucurbitacin I (JSI-124);responder;LL.4;90;584,061242431219;734,675585525793
OVCAR-8 R1;Dabrafenib ;non-responder;lm;NA;NA;NA
