Sample;Drug;Status;Model;ED;Estimate;Std. Error
OVCAR-8 R3;Selpercatinib (LOXO-292);responder;LL.4;10;11696,1397662445;38529,2746331558
OVCAR-8 R3;Selpercatinib (LOXO-292);responder;LL.4;50;29234,4843013339;132740,862406578
OVCAR-8 R3;Selpercatinib (LOXO-292);responder;LL.4;90;73071,5509087453;425024,53890686
OVCAR-8 R3;Selumetinib (AZD6244);responder;LL.4;10;2667,21808456887;1543,65053605729
OVCAR-8 R3;Selumetinib (AZD6244);responder;LL.4;50;6061,87242790725;3519,11270036907
OVCAR-8 R3;Selumetinib (AZD6244);responder;LL.4;90;13777,0126652999;13280,52455855
OVCAR-8 R3;Simvastatin (MK 733);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Sorafenib (Nexavar);responder;LL.4;10;3559,83839829066;616,755211430191
OVCAR-8 R3;Sorafenib (Nexavar);responder;LL.4;50;6767,67084116886;606,846564391582
OVCAR-8 R3;Sorafenib (Nexavar);responder;LL.4;90;12866,1370236357;2768,36937098574
OVCAR-8 R3;Tamoxifen (ICI 46474);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Temsirolimus (CCI-779);non-responder;lm;NA;NA;NA
OVCAR-8 R3;TNKS1/2 inhibitor (OM-153);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Trametinib (GSK1120212);responder;LL.4;10;7,12158996767179;8,2825593657913
OVCAR-8 R3;Trametinib (GSK1120212);responder;LL.4;50;67,5592115483956;33,9755532256947
OVCAR-8 R3;Trametinib (GSK1120212);responder;LL.4;90;640,902816050925;1053,79018754448
OVCAR-8 R3;Vemurafenib (PLX4032);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Venetoclax (ABT-199);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Vinorelbine ditartrate (Navelbine);responder;LL.4;10;81,5126065356396;27,6907217764735
OVCAR-8 R3;Vinorelbine ditartrate (Navelbine);responder;LL.4;50;321,839583720773;69,440802241112
OVCAR-8 R3;Vinorelbine ditartrate (Navelbine);responder;LL.4;90;1270,73249220992;426,396945030124
OVCAR-8 R3;Vismodegib (GDC-0449);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Volasertib (BI 6727);responder;LL.4;10;242,519153827676;258,146137743534
OVCAR-8 R3;Volasertib (BI 6727);responder;LL.4;50;618,625692361486;232,91164894994
OVCAR-8 R3;Volasertib (BI 6727);responder;LL.4;90;1578,01040128013;568,908208912959
