Sample;Drug;Status;Model;ED;Estimate;Std. Error
OVCAR-8 R3;Abemaciclib (LY2835219);responder;LL.4;10;10535,0690944795;NA
OVCAR-8 R3;Abemaciclib (LY2835219);responder;LL.4;50;13416,5142632766;NA
OVCAR-8 R3;Abemaciclib (LY2835219);responder;LL.4;90;17086,0630682554;NA
OVCAR-8 R3;Adavosertib (MK-1775);responder;LL.4;10;370,735044200048;109,060023379712
OVCAR-8 R3;Adavosertib (MK-1775);responder;LL.4;50;899,782434704832;92,3696127468245
OVCAR-8 R3;Adavosertib (MK-1775);responder;LL.4;90;2183,79255608351;725,887267865248
OVCAR-8 R3;Afatinib (BIBW2992);responder;LL.4;10;2261,73786137976;441,893426979838
OVCAR-8 R3;Afatinib (BIBW2992);responder;LL.4;50;5472,64854354458;786,094794961788
OVCAR-8 R3;Afatinib (BIBW2992);responder;LL.4;90;13241,9775927922;4066,04303478864
OVCAR-8 R3;Alectinib (CH5424802);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Alpelisib (BYL719);non-responder;lm;NA;NA;NA
OVCAR-8 R3;AZD7762;responder;LL.4;10;253,134231269261;3207,77804982738
OVCAR-8 R3;AZD7762;responder;LL.4;50;311,672774209776;444,324266495036
OVCAR-8 R3;AZD7762;responder;LL.4;90;383,748644727111;3769,00063383599
OVCAR-8 R3;AZD8055;responder;LL.4;10;56,4142365781492;25,5836289120846
OVCAR-8 R3;AZD8055;responder;LL.4;50;163,452850053981;21,4980863976784
OVCAR-8 R3;AZD8055;responder;LL.4;90;473,58319125278;300,700250600283
OVCAR-8 R3;Binimetinib (MEK162);responder;LL.4;10;2830,16922614984;20052,1709822411
OVCAR-8 R3;Binimetinib (MEK162);responder;LL.4;50;73637,6025368464;821249,515342086
OVCAR-8 R3;Binimetinib (MEK162);responder;LL.4;90;1915961,93516362;29386732,844495
OVCAR-8 R3;Carboplatin (NSC 241240);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Cerdulatinib (PRT062070, PRT2070);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Cobimetinib;responder;LL.4;10;39,4690289137411;57,2704069484262
OVCAR-8 R3;Cobimetinib;responder;LL.4;50;3797,77030105908;7787,80521158129
OVCAR-8 R3;Cobimetinib;responder;LL.4;90;365427,264276699;1355468,24472024
OVCAR-8 R3;Crizotinib (PF-02341066);responder;LL.4;10;3626,10737900685;669,344834334312
OVCAR-8 R3;Crizotinib (PF-02341066);responder;LL.4;50;8770,50485364408;875,656972658986
OVCAR-8 R3;Crizotinib (PF-02341066);responder;LL.4;90;21213,3142645275;5056,25161606165
OVCAR-8 R3;Cucurbitacin I (JSI-124);responder;LL.4;10;161,293456682923;77,2624699474732
OVCAR-8 R3;Cucurbitacin I (JSI-124);responder;LL.4;50;724,23045532939;150,153796131599
OVCAR-8 R3;Cucurbitacin I (JSI-124);responder;LL.4;90;3251,89727601732;1644,26947222469
OVCAR-8 R3;Dabrafenib ;non-responder;lm;NA;NA;NA
OVCAR-8 R3;Dasatinib (BMS-354825);responder;LL.4;10;0,790421629112787;2,82319761419593
OVCAR-8 R3;Dasatinib (BMS-354825);responder;LL.4;50;60,0070320534199;54,9167096080388
OVCAR-8 R3;Dasatinib (BMS-354825);responder;LL.4;90;4555,59888954703;14954,2177878391
OVCAR-8 R3;Defactinib (VS-6063, PF-04554878);responder;LL.4;10;16857,7041332541;NA
OVCAR-8 R3;Defactinib (VS-6063, PF-04554878);responder;LL.4;50;25293,2727431299;NA
OVCAR-8 R3;Defactinib (VS-6063, PF-04554878);responder;LL.4;90;37949,9866056118;NA
OVCAR-8 R3;Dexamethasone;non-responder;lm;NA;NA;NA
OVCAR-8 R3;Entrektinib (RXDX-101);responder;LL.4;10;3083,09624049491;602,220397189823
OVCAR-8 R3;Entrektinib (RXDX-101);responder;LL.4;50;4461,27143868616;2673,73407963739
OVCAR-8 R3;Entrektinib (RXDX-101);responder;LL.4;90;6455,50488765864;8682,7524502301
OVCAR-8 R3;Erlotinib;responder;LL.4;10;4899,46401498583;658056,511707863
OVCAR-8 R3;Erlotinib;responder;LL.4;50;5370,8513844667;640128,31783746
OVCAR-8 R3;Erlotinib;responder;LL.4;90;5887,59188878569;616258,077227526
OVCAR-8 R3;Everolimus (RAD001);responder;LL.4;10;0,831910226270664;1,49065480343254
OVCAR-8 R3;Everolimus (RAD001);responder;LL.4;50;24,8900670907519;34,1973044260576
OVCAR-8 R3;Everolimus (RAD001);responder;LL.4;90;744,69025649478;1912,87158704426
OVCAR-8 R3;Flavopiridol (L86-8275) HCl;responder;LL.4;10;28,6787919742467;19,2788412921736
OVCAR-8 R3;Flavopiridol (L86-8275) HCl;responder;LL.4;50;98,407964571652;29,0391992439287
OVCAR-8 R3;Flavopiridol (L86-8275) HCl;responder;LL.4;90;337,675572242784;139,674599603182
OVCAR-8 R3;Fludarabine (Fludara);responder;LL.4;10;4681,70925176075;3366,97977566687
OVCAR-8 R3;Fludarabine (Fludara);responder;LL.4;50;9631,43147588121;3862,99611438871
OVCAR-8 R3;Fludarabine (Fludara);responder;LL.4;90;19814,2317871848;24566,0381703681
OVCAR-8 R3;Flunarizine 2HCl;non-responder;lm;NA;NA;NA
OVCAR-8 R3;Gedatolisib (PKI-587);responder;LL.4;10;220,302773077698;70,241039729274
OVCAR-8 R3;Gedatolisib (PKI-587);responder;LL.4;50;945,28143585512;424,567675665044
OVCAR-8 R3;Gedatolisib (PKI-587);responder;LL.4;90;4056,04060488685;3709,8535966813
OVCAR-8 R3;Gemcitabine (LY-188011) HCl;responder;LL.4;10;1304,92904072154;12912,911695678
OVCAR-8 R3;Gemcitabine (LY-188011) HCl;responder;LL.4;50;1574,8055034141;5444,32425196634
OVCAR-8 R3;Gemcitabine (LY-188011) HCl;responder;LL.4;90;1900,49596276288;31943,9918342581
OVCAR-8 R3;Idasanutlin (RG-7388);responder;LL.4;10;2714,71713894398;1250,06997205602
OVCAR-8 R3;Idasanutlin (RG-7388);responder;LL.4;50;8625,16662558268;6362,23690007801
OVCAR-8 R3;Idasanutlin (RG-7388);responder;LL.4;90;27403,7756095666;39259,9356735015
OVCAR-8 R3;Lapatinib Ditosylate (Tykerb);responder;LL.4;10;6410,89495435742;193136,030433072
OVCAR-8 R3;Lapatinib Ditosylate (Tykerb);responder;LL.4;50;8119,29849515575;114258,607853232
OVCAR-8 R3;Lapatinib Ditosylate (Tykerb);responder;LL.4;90;10282,9649405862;20424,5841891136
OVCAR-8 R3;LJH-685;non-responder;lm;NA;NA;NA
OVCAR-8 R3;Luminespib (NVP-AUY922);responder;LL.4;10;12,3069766246485;20,3419820230387
OVCAR-8 R3;Luminespib (NVP-AUY922);responder;LL.4;50;13,9922724276626;51,952344223614
OVCAR-8 R3;Luminespib (NVP-AUY922);responder;LL.4;90;15,9083496833665;91,9146768009024
OVCAR-8 R3;Mebendalzole;responder;LL.4;10;193,6442563918;151,53445904852
OVCAR-8 R3;Mebendalzole;responder;LL.4;50;655,179738456519;204,1454015155
OVCAR-8 R3;Mebendalzole;responder;LL.4;90;2216,74785342164;1540,0651227154
OVCAR-8 R3;Metformin;non-responder;lm;NA;NA;NA
OVCAR-8 R3;MK-2206 2HCl;responder;LL.4;10;9399,40094090529;NA
OVCAR-8 R3;MK-2206 2HCl;responder;LL.4;50;12355,5907419838;NA
OVCAR-8 R3;MK-2206 2HCl;responder;LL.4;90;16241,5268316762;NA
OVCAR-8 R3;Navitoclax (ABT-263);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Niclosamide (BAY2353);responder;LL.4;10;1188,09999544341;361,960450002217
OVCAR-8 R3;Niclosamide (BAY2353);responder;LL.4;50;3197,13023516456;366,144313675022
OVCAR-8 R3;Niclosamide (BAY2353);responder;LL.4;90;8603,35138439972;3843,50084078239
OVCAR-8 R3;Niraparib (MK-4827);responder;LL.4;10;3168,61036437777;774,443323266286
OVCAR-8 R3;Niraparib (MK-4827);responder;LL.4;50;6204,38440005432;1019,37968184303
OVCAR-8 R3;Niraparib (MK-4827);responder;LL.4;90;12148,6649846254;4644,87744437605
OVCAR-8 R3;Nutlin-3a;non-responder;lm;NA;NA;NA
OVCAR-8 R3;Olaparib (AZD2281);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Paclitaxel (NSC 125973);responder;LL.4;10;2,20296136247652;2,08130809598273
OVCAR-8 R3;Paclitaxel (NSC 125973);responder;LL.4;50;9,16389143352815;2,97124841772821
OVCAR-8 R3;Paclitaxel (NSC 125973);responder;LL.4;90;38,1200086555697;34,6875017579305
OVCAR-8 R3;Palbociclib;responder;LL.4;10;9682,68172234881;1194,90905310993
OVCAR-8 R3;Palbociclib;responder;LL.4;50;13678,5537263714;16059,5408938227
OVCAR-8 R3;Palbociclib;responder;LL.4;90;19323,4516439152;43590,2489614969
OVCAR-8 R3;Panobinostat (LBH589);responder;LL.4;10;29,9528212659651;13,3961204329689
OVCAR-8 R3;Panobinostat (LBH589);responder;LL.4;50;177,12887785098;45,0602081566576
OVCAR-8 R3;Panobinostat (LBH589);responder;LL.4;90;1047,46858702081;521,665769498406
OVCAR-8 R3;Pertuzumab (anti-HER2);non-responder;lm;NA;NA;NA
OVCAR-8 R3;Pictilisib (GDC-0941);responder;LL.4;10;372,382061164857;272,994165676756
OVCAR-8 R3;Pictilisib (GDC-0941);responder;LL.4;50;6197,30947505403;9023,76903718997
OVCAR-8 R3;Pictilisib (GDC-0941);responder;LL.4;90;103137,741408525;297489,936836818
OVCAR-8 R3;Quinacrine;responder;LL.4;10;12378,0196384024;17585,8247059478
OVCAR-8 R3;Quinacrine;responder;LL.4;50;24268,4672982361;49717,413323009
OVCAR-8 R3;Quinacrine;responder;LL.4;90;47580,9961698825;129030,485548953
OVCAR-8 R3;Ruxolitinib (INCB018424);non-responder;lm;NA;NA;NA
