Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R3;PID3-0726C2;2;C;231;DMSO;67-68-5;0,1;%;5;C008;A10;AB39;3466120
OVCAR-8 R3;PID3-0726C2;2;C;231;H2O;7732-18-5;50;%;5;C008;C1;AB39;3466120
OVCAR-8 R3;PID3-0726C2;2;C;451;DMSO;67-68-5;0,1;%;5;C008;A7;M6;2741920
OVCAR-8 R3;PID3-0726C2;2;C;451;H2O;7732-18-5;50;%;5;C008;C5;M6;2741920
OVCAR-8 R3;PID3-0726C1;1;C;552;DMSO;67-68-5;0,1;%;5;C008;A8;P33;3013440
OVCAR-8 R3;PID3-0726C1;1;C;552;H2O;7732-18-5;50;%;5;C008;C8;P33;3013440
OVCAR-8 R3;PID3-0726C3;3;C;693;DMSO;67-68-5;0,1;%;5;C008;A22;H33;2947440
OVCAR-8 R3;PID3-0726C3;3;C;693;H2O;7732-18-5;50;%;5;C008;C10;H33;2947440
OVCAR-8 R3;PID3-0726C2;2;C;984;DMSO;67-68-5;0,1;%;5;C008;A24;X2;2999440
OVCAR-8 R3;PID3-0726C2;2;C;984;H2O;7732-18-5;50;%;5;C008;C12;X2;2999440
OVCAR-8 R3;PID3-0726C2;2;C;1008;DMSO;67-68-5;0,1;%;5;C008;A9;K9;2895640
OVCAR-8 R3;PID3-0726C2;2;C;1008;H2O;7732-18-5;50;%;5;C008;C13;K9;2895640
OVCAR-8 R3;PID3-0726C1;1;C;1404;DMSO;67-68-5;0,1;%;5;C008;A2;C45;2769480
OVCAR-8 R3;PID3-0726C1;1;C;1404;H2O;7732-18-5;50;%;5;C008;C17;C45;2769480
OVCAR-8 R3;PID3-0726C3;3;C;1427;DMSO;67-68-5;0,1;%;5;C008;A5;F41;3237800
OVCAR-8 R3;PID3-0726C3;3;C;1427;H2O;7732-18-5;50;%;5;C008;C18;F41;3237800
OVCAR-8 R3;PID3-0726C2;2;C;1506;DMSO;67-68-5;0,1;%;5;C008;A20;Y7;3281280
OVCAR-8 R3;PID3-0726C2;2;C;1506;H2O;7732-18-5;50;%;5;C008;C20;Y7;3281280
OVCAR-8 R3;PID3-0726C1;1;C;1517;DMSO;67-68-5;0,1;%;5;C008;A1;L12;2987600
OVCAR-8 R3;PID3-0726C1;1;C;1517;H2O;7732-18-5;50;%;5;C008;C21;L12;2987600
OVCAR-8 R3;PID3-0726C3;3;C;1852;DMSO;67-68-5;0,1;%;5;C008;A2;E29;3191000
OVCAR-8 R3;PID3-0726C3;3;C;1852;H2O;7732-18-5;50;%;5;C008;C23;E29;3191000
OVCAR-8 R3;PID3-0726C2;2;C;2199;DMSO;67-68-5;0,1;%;5;C008;A15;Y32;3192560
OVCAR-8 R3;PID3-0726C2;2;C;2199;H2O;7732-18-5;50;%;5;C008;C4;Y32;3192560
OVCAR-8 R3;PID3-0726C2;2;C;2299;DMSO;67-68-5;0,1;%;5;C008;A21;B46;2614920
OVCAR-8 R3;PID3-0726C2;2;C;2299;H2O;7732-18-5;50;%;5;C008;C5;B46;2614920
OVCAR-8 R3;PID3-0726C1;1;C;2799;DMSO;67-68-5;0,1;%;5;C008;A9;U31;3217280
OVCAR-8 R3;PID3-0726C1;1;C;2799;H2O;7732-18-5;50;%;5;C008;C15;U31;3217280
OVCAR-8 R3;PID3-0726C3;3;C;2805;DMSO;67-68-5;0,1;%;5;C008;A10;R20;3574960
OVCAR-8 R3;PID3-0726C3;3;C;2805;H2O;7732-18-5;50;%;5;C008;C16;R20;3574960
OVCAR-8 R3;PID3-0726C3;3;C;2838;DMSO;67-68-5;0,1;%;5;C008;A24;H15;2732400
OVCAR-8 R3;PID3-0726C3;3;C;2838;H2O;7732-18-5;50;%;5;C008;C18;H15;2732400
OVCAR-8 R3;PID3-0726C1;1;C;2946;DMSO;67-68-5;0,1;%;5;C008;A1;D36;2892480
OVCAR-8 R3;PID3-0726C1;1;C;2946;H2O;7732-18-5;50;%;5;C008;C19;D36;2892480
OVCAR-8 R3;PID3-0726C3;3;C;2997;DMSO;67-68-5;0,1;%;5;C008;A12;L39;3294920
OVCAR-8 R3;PID3-0726C3;3;C;2997;H2O;7732-18-5;50;%;5;C008;C20;L39;3294920
OVCAR-8 R3;PID3-0726C1;1;C;3032;DMSO;67-68-5;0,1;%;5;C008;A17;G20;2984520
OVCAR-8 R3;PID3-0726C1;1;C;3032;H2O;7732-18-5;50;%;5;C008;C23;G20;2984520
OVCAR-8 R3;PID3-0726C1;1;C;3059;DMSO;67-68-5;0,1;%;5;C008;A24;D8;2774800
OVCAR-8 R3;PID3-0726C1;1;C;3059;H2O;7732-18-5;50;%;5;C008;C24;D8;2774800
OVCAR-8 R3;PID3-0726C2;2;C;3119;DMSO;67-68-5;0,1;%;5;C008;A19;R46;3100760
OVCAR-8 R3;PID3-0726C2;2;C;3119;H2O;7732-18-5;50;%;5;C008;C3;R46;3100760
OVCAR-8 R3;PID3-0726C3;3;C;3189;DMSO;67-68-5;0,1;%;5;C008;A12;Q29;3183920
OVCAR-8 R3;PID3-0726C3;3;C;3189;H2O;7732-18-5;50;%;5;C008;C5;Q29;3183920
OVCAR-8 R3;PID3-0726C3;3;C;3417;DMSO;67-68-5;0,1;%;5;C008;A11;G23;3215720
OVCAR-8 R3;PID3-0726C3;3;C;3417;H2O;7732-18-5;50;%;5;C008;C12;G23;3215720
OVCAR-8 R3;PID3-0726C1;1;C;3456;DMSO;67-68-5;0,1;%;5;C008;A21;L28;3048880
OVCAR-8 R3;PID3-0726C1;1;C;3456;H2O;7732-18-5;50;%;5;C008;C13;L28;3048880
