Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R3;PID3-0726C3;3;C;10;Untreated;NA;0;NA;NA;NA;NA;L46;3199800
OVCAR-8 R3;PID3-0726C1;1;C;261;Untreated;NA;0;NA;NA;NA;NA;U38;2942360
OVCAR-8 R3;PID3-0726C3;3;C;470;Untreated;NA;0;NA;NA;NA;NA;J28;3181200
OVCAR-8 R3;PID3-0726C1;1;C;729;Untreated;NA;0;NA;NA;NA;NA;S40;3218520
OVCAR-8 R3;PID3-0726C2;2;C;789;Untreated;NA;0;NA;NA;NA;NA;M44;3184920
OVCAR-8 R3;PID3-0726C3;3;C;798;Untreated;NA;0;NA;NA;NA;NA;Q21;3497320
OVCAR-8 R3;PID3-0726C1;1;C;979;Untreated;NA;0;NA;NA;NA;NA;R39;3260680
OVCAR-8 R3;PID3-0726C2;2;C;1131;Untreated;NA;0;NA;NA;NA;NA;L20;3069680
OVCAR-8 R3;PID3-0726C3;3;C;1156;Untreated;NA;0;NA;NA;NA;NA;B9;2914080
OVCAR-8 R3;PID3-0726C2;2;C;1198;Untreated;NA;0;NA;NA;NA;NA;B16;2820880
OVCAR-8 R3;PID3-0726C1;1;C;1297;Untreated;NA;0;NA;NA;NA;NA;B42;2740400
OVCAR-8 R3;PID3-0726C3;3;C;1311;Untreated;NA;0;NA;NA;NA;NA;M18;2830320
OVCAR-8 R3;PID3-0726C3;3;C;1335;Untreated;NA;0;NA;NA;NA;NA;N33;3289320
OVCAR-8 R3;PID3-0726C2;2;C;1338;Untreated;NA;0;NA;NA;NA;NA;AD22;3236440
OVCAR-8 R3;PID3-0726C2;2;C;1379;Untreated;NA;0;NA;NA;NA;NA;P39;3275360
OVCAR-8 R3;PID3-0726C3;3;C;1418;Untreated;NA;0;NA;NA;NA;NA;J4;3164360
OVCAR-8 R3;PID3-0726C2;2;C;1889;Untreated;NA;0;NA;NA;NA;NA;AE17;3307200
OVCAR-8 R3;PID3-0726C1;1;C;2077;Untreated;NA;0;NA;NA;NA;NA;C27;2891320
OVCAR-8 R3;PID3-0726C3;3;C;2170;Untreated;NA;0;NA;NA;NA;NA;S11;3429320
OVCAR-8 R3;PID3-0726C1;1;C;2406;Untreated;NA;0;NA;NA;NA;NA;AE22;3295000
OVCAR-8 R3;PID3-0726C2;2;C;2427;Untreated;NA;0;NA;NA;NA;NA;G36;3102280
OVCAR-8 R3;PID3-0726C2;2;C;2944;Untreated;NA;0;NA;NA;NA;NA;AA36;3264320
OVCAR-8 R3;PID3-0726C1;1;C;3523;Untreated;NA;0;NA;NA;NA;NA;M25;3020920
OVCAR-8 R3;PID3-0726C1;1;C;3549;Untreated;NA;0;NA;NA;NA;NA;T22;3188000
