Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R3;PID3-0726C3;3;C;138;BzCl;121-54-0;100;μM;5;C008;B1;I44;178160
OVCAR-8 R3;PID3-0726C2;2;C;270;BzCl;121-54-0;100;μM;5;C008;B2;F16;621120
OVCAR-8 R3;PID3-0726C1;1;C;286;BzCl;121-54-0;100;μM;5;C008;B3;O5;600760
OVCAR-8 R3;PID3-0726C3;3;C;516;BzCl;121-54-0;100;μM;5;C008;B4;N39;210960
OVCAR-8 R3;PID3-0726C1;1;C;855;BzCl;121-54-0;100;μM;5;C008;B5;S16;148720
OVCAR-8 R3;PID3-0726C1;1;C;899;BzCl;121-54-0;100;μM;5;C008;B6;C37;230560
OVCAR-8 R3;PID3-0726C3;3;C;965;BzCl;121-54-0;100;μM;5;C008;B7;I45;390160
OVCAR-8 R3;PID3-0726C1;1;C;966;BzCl;121-54-0;100;μM;5;C008;B8;AA7;382320
OVCAR-8 R3;PID3-0726C2;2;C;1383;BzCl;121-54-0;100;μM;5;C008;B9;AB44;388160
OVCAR-8 R3;PID3-0726C1;1;C;1721;BzCl;121-54-0;100;μM;5;C008;B10;AC22;358120
OVCAR-8 R3;PID3-0726C3;3;C;1791;BzCl;121-54-0;100;μM;5;C008;B11;N18;335240
OVCAR-8 R3;PID3-0726C3;3;C;1845;BzCl;121-54-0;100;μM;5;C008;B12;Q8;513800
OVCAR-8 R3;PID3-0726C2;2;C;1928;BzCl;121-54-0;100;μM;5;C008;B13;E7;687800
OVCAR-8 R3;PID3-0726C2;2;C;2049;BzCl;121-54-0;100;μM;5;C008;B14;N17;528880
OVCAR-8 R3;PID3-0726C2;2;C;2198;BzCl;121-54-0;100;μM;5;C008;B15;AB23;286120
OVCAR-8 R3;PID3-0726C3;3;C;2226;BzCl;121-54-0;100;μM;5;C008;B16;O15;200880
OVCAR-8 R3;PID3-0726C3;3;C;2252;BzCl;121-54-0;100;μM;5;C008;B17;I28;594920
OVCAR-8 R3;PID3-0726C2;2;C;2315;BzCl;121-54-0;100;μM;5;C008;B18;Q26;95560
OVCAR-8 R3;PID3-0726C1;1;C;2481;BzCl;121-54-0;100;μM;5;C008;B19;AE15;435000
OVCAR-8 R3;PID3-0726C2;2;C;2483;BzCl;121-54-0;100;μM;5;C008;B20;K24;290960
OVCAR-8 R3;PID3-0726C1;1;C;2661;BzCl;121-54-0;100;μM;5;C008;B21;U23;214120
OVCAR-8 R3;PID3-0726C3;3;C;2908;BzCl;121-54-0;100;μM;5;C008;B22;J31;399320
OVCAR-8 R3;PID3-0726C2;2;C;2916;BzCl;121-54-0;100;μM;5;C008;B23;Q29;194440
OVCAR-8 R3;PID3-0726C1;1;C;3271;BzCl;121-54-0;100;μM;5;C008;B24;Z41;442480
