Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A3;3;A;282;H2O;7732-18-5;100;%;10;C008;C2;K35;2877000
OVCAR-8 R1;PID3-0726A1;1;A;334;H2O;7732-18-5;100;%;10;C008;C3;R34;2694440
OVCAR-8 R1;PID3-0726A1;1;A;378;H2O;7732-18-5;100;%;10;C008;C4;K25;2712320
OVCAR-8 R1;PID3-0726A2;2;A;529;H2O;7732-18-5;100;%;10;C008;C7;R25;2689840
OVCAR-8 R1;PID3-0726A2;2;A;644;H2O;7732-18-5;100;%;10;C008;C9;Q3;2422640
OVCAR-8 R1;PID3-0726A3;3;A;862;H2O;7732-18-5;100;%;10;C008;C11;B19;2296280
OVCAR-8 R1;PID3-0726A3;3;A;1106;H2O;7732-18-5;100;%;10;C008;C14;S6;2387560
OVCAR-8 R1;PID3-0726A3;3;A;1276;H2O;7732-18-5;100;%;10;C008;C15;O45;2877480
OVCAR-8 R1;PID3-0726A1;1;A;1349;H2O;7732-18-5;100;%;10;C008;C16;O28;2715160
OVCAR-8 R1;PID3-0726A3;3;A;1459;H2O;7732-18-5;100;%;10;C008;C19;J6;2399160
OVCAR-8 R1;PID3-0726A1;1;A;1998;H2O;7732-18-5;100;%;10;C008;C24;Q43;2656000
OVCAR-8 R1;PID3-0726A1;1;A;2195;H2O;7732-18-5;100;%;10;C008;C3;Q38;2884720
OVCAR-8 R1;PID3-0726A3;3;A;2511;H2O;7732-18-5;100;%;10;C008;C9;B12;2094960
OVCAR-8 R1;PID3-0726A2;2;A;2635;H2O;7732-18-5;100;%;10;C008;C12;J40;2867280
OVCAR-8 R1;PID3-0726A2;2;A;2751;H2O;7732-18-5;100;%;10;C008;C13;R23;2390840
OVCAR-8 R1;PID3-0726A2;2;A;2812;H2O;7732-18-5;100;%;10;C008;C17;E2;2033680
OVCAR-8 R1;PID3-0726A3;3;A;3030;H2O;7732-18-5;100;%;10;C008;C22;F5;2469280
OVCAR-8 R1;PID3-0726A2;2;A;3060;H2O;7732-18-5;100;%;10;C008;C1;R10;2327400
OVCAR-8 R1;PID3-0726A1;1;A;3117;H2O;7732-18-5;100;%;10;C008;C2;D4;2202680
OVCAR-8 R1;PID3-0726A2;2;A;3198;H2O;7732-18-5;100;%;10;C008;C6;E27;2267080
OVCAR-8 R1;PID3-0726A1;1;A;3202;H2O;7732-18-5;100;%;10;C008;C7;AC3;2835440
OVCAR-8 R1;PID3-0726A2;2;A;3303;H2O;7732-18-5;100;%;10;C008;C8;K29;2471880
OVCAR-8 R1;PID3-0726A1;1;A;3322;H2O;7732-18-5;100;%;10;C008;C10;J19;2598960
OVCAR-8 R1;PID3-0726A3;3;A;3347;H2O;7732-18-5;100;%;10;C008;C11;S28;2807480
