Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A2;2;A;231;DMSO;67-68-5;0,1;%;5;C008;A10;AB39;2850440
OVCAR-8 R1;PID3-0726A2;2;A;231;H2O;7732-18-5;50;%;5;C008;C1;AB39;2850440
OVCAR-8 R1;PID3-0726A2;2;A;451;DMSO;67-68-5;0,1;%;5;C008;A7;M6;2579760
OVCAR-8 R1;PID3-0726A2;2;A;451;H2O;7732-18-5;50;%;5;C008;C5;M6;2579760
OVCAR-8 R1;PID3-0726A1;1;A;552;DMSO;67-68-5;0,1;%;5;C008;A8;P33;2377480
OVCAR-8 R1;PID3-0726A1;1;A;552;H2O;7732-18-5;50;%;5;C008;C8;P33;2377480
OVCAR-8 R1;PID3-0726A3;3;A;693;DMSO;67-68-5;0,1;%;5;C008;A22;H33;2608920
OVCAR-8 R1;PID3-0726A3;3;A;693;H2O;7732-18-5;50;%;5;C008;C10;H33;2608920
OVCAR-8 R1;PID3-0726A2;2;A;984;DMSO;67-68-5;0,1;%;5;C008;A24;X2;2658040
OVCAR-8 R1;PID3-0726A2;2;A;984;H2O;7732-18-5;50;%;5;C008;C12;X2;2658040
OVCAR-8 R1;PID3-0726A2;2;A;1008;DMSO;67-68-5;0,1;%;5;C008;A9;K9;2374480
OVCAR-8 R1;PID3-0726A2;2;A;1008;H2O;7732-18-5;50;%;5;C008;C13;K9;2374480
OVCAR-8 R1;PID3-0726A1;1;A;1404;DMSO;67-68-5;0,1;%;5;C008;A2;C45;2582680
OVCAR-8 R1;PID3-0726A1;1;A;1404;H2O;7732-18-5;50;%;5;C008;C17;C45;2582680
OVCAR-8 R1;PID3-0726A3;3;A;1427;DMSO;67-68-5;0,1;%;5;C008;A5;F41;2105240
OVCAR-8 R1;PID3-0726A3;3;A;1427;H2O;7732-18-5;50;%;5;C008;C18;F41;2105240
OVCAR-8 R1;PID3-0726A2;2;A;1506;DMSO;67-68-5;0,1;%;5;C008;A20;Y7;2651680
OVCAR-8 R1;PID3-0726A2;2;A;1506;H2O;7732-18-5;50;%;5;C008;C20;Y7;2651680
OVCAR-8 R1;PID3-0726A1;1;A;1517;DMSO;67-68-5;0,1;%;5;C008;A1;L12;2849720
OVCAR-8 R1;PID3-0726A1;1;A;1517;H2O;7732-18-5;50;%;5;C008;C21;L12;2849720
OVCAR-8 R1;PID3-0726A3;3;A;1852;DMSO;67-68-5;0,1;%;5;C008;A2;E29;2392200
OVCAR-8 R1;PID3-0726A3;3;A;1852;H2O;7732-18-5;50;%;5;C008;C23;E29;2392200
OVCAR-8 R1;PID3-0726A2;2;A;2199;DMSO;67-68-5;0,1;%;5;C008;A15;Y32;2799000
OVCAR-8 R1;PID3-0726A2;2;A;2199;H2O;7732-18-5;50;%;5;C008;C4;Y32;2799000
OVCAR-8 R1;PID3-0726A2;2;A;2299;DMSO;67-68-5;0,1;%;5;C008;A21;B46;2430000
OVCAR-8 R1;PID3-0726A2;2;A;2299;H2O;7732-18-5;50;%;5;C008;C5;B46;2430000
OVCAR-8 R1;PID3-0726A1;1;A;2799;DMSO;67-68-5;0,1;%;5;C008;A9;U31;2820560
OVCAR-8 R1;PID3-0726A1;1;A;2799;H2O;7732-18-5;50;%;5;C008;C15;U31;2820560
OVCAR-8 R1;PID3-0726A3;3;A;2805;DMSO;67-68-5;0,1;%;5;C008;A10;R20;2532880
OVCAR-8 R1;PID3-0726A3;3;A;2805;H2O;7732-18-5;50;%;5;C008;C16;R20;2532880
OVCAR-8 R1;PID3-0726A3;3;A;2838;DMSO;67-68-5;0,1;%;5;C008;A24;H15;2487120
OVCAR-8 R1;PID3-0726A3;3;A;2838;H2O;7732-18-5;50;%;5;C008;C18;H15;2487120
OVCAR-8 R1;PID3-0726A1;1;A;2946;DMSO;67-68-5;0,1;%;5;C008;A1;D36;2556920
OVCAR-8 R1;PID3-0726A1;1;A;2946;H2O;7732-18-5;50;%;5;C008;C19;D36;2556920
OVCAR-8 R1;PID3-0726A3;3;A;2997;DMSO;67-68-5;0,1;%;5;C008;A12;L39;2938400
OVCAR-8 R1;PID3-0726A3;3;A;2997;H2O;7732-18-5;50;%;5;C008;C20;L39;2938400
OVCAR-8 R1;PID3-0726A1;1;A;3032;DMSO;67-68-5;0,1;%;5;C008;A17;G20;2597360
OVCAR-8 R1;PID3-0726A1;1;A;3032;H2O;7732-18-5;50;%;5;C008;C23;G20;2597360
OVCAR-8 R1;PID3-0726A1;1;A;3059;DMSO;67-68-5;0,1;%;5;C008;A24;D8;2570960
OVCAR-8 R1;PID3-0726A1;1;A;3059;H2O;7732-18-5;50;%;5;C008;C24;D8;2570960
OVCAR-8 R1;PID3-0726A2;2;A;3119;DMSO;67-68-5;0,1;%;5;C008;A19;R46;2580600
OVCAR-8 R1;PID3-0726A2;2;A;3119;H2O;7732-18-5;50;%;5;C008;C3;R46;2580600
OVCAR-8 R1;PID3-0726A3;3;A;3189;DMSO;67-68-5;0,1;%;5;C008;A12;Q29;2289640
OVCAR-8 R1;PID3-0726A3;3;A;3189;H2O;7732-18-5;50;%;5;C008;C5;Q29;2289640
OVCAR-8 R1;PID3-0726A3;3;A;3417;DMSO;67-68-5;0,1;%;5;C008;A11;G23;2608880
OVCAR-8 R1;PID3-0726A3;3;A;3417;H2O;7732-18-5;50;%;5;C008;C12;G23;2608880
OVCAR-8 R1;PID3-0726A1;1;A;3456;DMSO;67-68-5;0,1;%;5;C008;A21;L28;2916120
OVCAR-8 R1;PID3-0726A1;1;A;3456;H2O;7732-18-5;50;%;5;C008;C13;L28;2916120
