Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A3;3;A;138;BzCl;121-54-0;100;μM;5;C008;B1;I44;156320
OVCAR-8 R1;PID3-0726A2;2;A;270;BzCl;121-54-0;100;μM;5;C008;B2;F16;468560
OVCAR-8 R1;PID3-0726A1;1;A;286;BzCl;121-54-0;100;μM;5;C008;B3;O5;453200
OVCAR-8 R1;PID3-0726A3;3;A;516;BzCl;121-54-0;100;μM;5;C008;B4;N39;155560
OVCAR-8 R1;PID3-0726A1;1;A;855;BzCl;121-54-0;100;μM;5;C008;B5;S16;138600
OVCAR-8 R1;PID3-0726A1;1;A;899;BzCl;121-54-0;100;μM;5;C008;B6;C37;189480
OVCAR-8 R1;PID3-0726A3;3;A;965;BzCl;121-54-0;100;μM;5;C008;B7;I45;284640
OVCAR-8 R1;PID3-0726A1;1;A;966;BzCl;121-54-0;100;μM;5;C008;B8;AA7;213200
OVCAR-8 R1;PID3-0726A2;2;A;1383;BzCl;121-54-0;100;μM;5;C008;B9;AB44;269320
OVCAR-8 R1;PID3-0726A1;1;A;1721;BzCl;121-54-0;100;μM;5;C008;B10;AC22;227200
OVCAR-8 R1;PID3-0726A3;3;A;1791;BzCl;121-54-0;100;μM;5;C008;B11;N18;112200
OVCAR-8 R1;PID3-0726A3;3;A;1845;BzCl;121-54-0;100;μM;5;C008;B12;Q8;255960
OVCAR-8 R1;PID3-0726A2;2;A;1928;BzCl;121-54-0;100;μM;5;C008;B13;E7;492240
OVCAR-8 R1;PID3-0726A2;2;A;2049;BzCl;121-54-0;100;μM;5;C008;B14;N17;462480
OVCAR-8 R1;PID3-0726A2;2;A;2198;BzCl;121-54-0;100;μM;5;C008;B15;AB23;203080
OVCAR-8 R1;PID3-0726A3;3;A;2226;BzCl;121-54-0;100;μM;5;C008;B16;O15;167160
OVCAR-8 R1;PID3-0726A3;3;A;2252;BzCl;121-54-0;100;μM;5;C008;B17;I28;416400
OVCAR-8 R1;PID3-0726A2;2;A;2315;BzCl;121-54-0;100;μM;5;C008;B18;Q26;89600
OVCAR-8 R1;PID3-0726A1;1;A;2481;BzCl;121-54-0;100;μM;5;C008;B19;AE15;307280
OVCAR-8 R1;PID3-0726A2;2;A;2483;BzCl;121-54-0;100;μM;5;C008;B20;K24;203560
OVCAR-8 R1;PID3-0726A1;1;A;2661;BzCl;121-54-0;100;μM;5;C008;B21;U23;122040
OVCAR-8 R1;PID3-0726A3;3;A;2908;BzCl;121-54-0;100;μM;5;C008;B22;J31;213440
OVCAR-8 R1;PID3-0726A2;2;A;2916;BzCl;121-54-0;100;μM;5;C008;B23;Q29;175520
OVCAR-8 R1;PID3-0726A1;1;A;3271;BzCl;121-54-0;100;μM;5;C008;B24;Z41;293720
