Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A3;3;A;10;Untreated;NA;0;NA;NA;NA;NA;L46;2695480
OVCAR-8 R1;PID3-0726A1;1;A;261;Untreated;NA;0;NA;NA;NA;NA;U38;2684000
OVCAR-8 R1;PID3-0726A3;3;A;470;Untreated;NA;0;NA;NA;NA;NA;J28;2678120
OVCAR-8 R1;PID3-0726A1;1;A;729;Untreated;NA;0;NA;NA;NA;NA;S40;2611560
OVCAR-8 R1;PID3-0726A2;2;A;789;Untreated;NA;0;NA;NA;NA;NA;M44;2815320
OVCAR-8 R1;PID3-0726A3;3;A;798;Untreated;NA;0;NA;NA;NA;NA;Q21;2609080
OVCAR-8 R1;PID3-0726A1;1;A;979;Untreated;NA;0;NA;NA;NA;NA;R39;2744200
OVCAR-8 R1;PID3-0726A2;2;A;1131;Untreated;NA;0;NA;NA;NA;NA;L20;2809400
OVCAR-8 R1;PID3-0726A3;3;A;1156;Untreated;NA;0;NA;NA;NA;NA;B9;2238520
OVCAR-8 R1;PID3-0726A2;2;A;1198;Untreated;NA;0;NA;NA;NA;NA;B16;2495520
OVCAR-8 R1;PID3-0726A1;1;A;1297;Untreated;NA;0;NA;NA;NA;NA;B42;2521560
OVCAR-8 R1;PID3-0726A3;3;A;1311;Untreated;NA;0;NA;NA;NA;NA;M18;2235720
OVCAR-8 R1;PID3-0726A3;3;A;1335;Untreated;NA;0;NA;NA;NA;NA;N33;2558440
OVCAR-8 R1;PID3-0726A2;2;A;1338;Untreated;NA;0;NA;NA;NA;NA;AD22;2918520
OVCAR-8 R1;PID3-0726A2;2;A;1379;Untreated;NA;0;NA;NA;NA;NA;P39;2893640
OVCAR-8 R1;PID3-0726A3;3;A;1418;Untreated;NA;0;NA;NA;NA;NA;J4;2703200
OVCAR-8 R1;PID3-0726A2;2;A;1889;Untreated;NA;0;NA;NA;NA;NA;AE17;2818120
OVCAR-8 R1;PID3-0726A1;1;A;2077;Untreated;NA;0;NA;NA;NA;NA;C27;2575720
OVCAR-8 R1;PID3-0726A3;3;A;2170;Untreated;NA;0;NA;NA;NA;NA;S11;2680600
OVCAR-8 R1;PID3-0726A1;1;A;2406;Untreated;NA;0;NA;NA;NA;NA;AE22;2764560
OVCAR-8 R1;PID3-0726A2;2;A;2427;Untreated;NA;0;NA;NA;NA;NA;G36;2571840
OVCAR-8 R1;PID3-0726A2;2;A;2944;Untreated;NA;0;NA;NA;NA;NA;AA36;2663000
OVCAR-8 R1;PID3-0726A1;1;A;3523;Untreated;NA;0;NA;NA;NA;NA;M25;2642720
OVCAR-8 R1;PID3-0726A1;1;A;3549;Untreated;NA;0;NA;NA;NA;NA;T22;2709720
