Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R2;PID3-0726B3;3;B;282;H2O;7732-18-5;100;%;10;C008;C2;K35;4089080
OVCAR-8 R2;PID3-0726B1;1;B;334;H2O;7732-18-5;100;%;10;C008;C3;R34;4191760
OVCAR-8 R2;PID3-0726B1;1;B;378;H2O;7732-18-5;100;%;10;C008;C4;K25;3924680
OVCAR-8 R2;PID3-0726B2;2;B;529;H2O;7732-18-5;100;%;10;C008;C7;R25;3945880
OVCAR-8 R2;PID3-0726B2;2;B;644;H2O;7732-18-5;100;%;10;C008;C9;Q3;3660760
OVCAR-8 R2;PID3-0726B3;3;B;862;H2O;7732-18-5;100;%;10;C008;C11;B19;3449440
OVCAR-8 R2;PID3-0726B3;3;B;1106;H2O;7732-18-5;100;%;10;C008;C14;S6;3957600
OVCAR-8 R2;PID3-0726B3;3;B;1276;H2O;7732-18-5;100;%;10;C008;C15;O45;4270360
OVCAR-8 R2;PID3-0726B1;1;B;1349;H2O;7732-18-5;100;%;10;C008;C16;O28;4094800
OVCAR-8 R2;PID3-0726B3;3;B;1459;H2O;7732-18-5;100;%;10;C008;C19;J6;3640560
OVCAR-8 R2;PID3-0726B1;1;B;1998;H2O;7732-18-5;100;%;10;C008;C24;Q43;4385160
OVCAR-8 R2;PID3-0726B1;1;B;2195;H2O;7732-18-5;100;%;10;C008;C3;Q38;4362760
OVCAR-8 R2;PID3-0726B3;3;B;2511;H2O;7732-18-5;100;%;10;C008;C9;B12;3473480
OVCAR-8 R2;PID3-0726B2;2;B;2635;H2O;7732-18-5;100;%;10;C008;C12;J40;4009200
OVCAR-8 R2;PID3-0726B2;2;B;2751;H2O;7732-18-5;100;%;10;C008;C13;R23;3645320
OVCAR-8 R2;PID3-0726B2;2;B;2812;H2O;7732-18-5;100;%;10;C008;C17;E2;2884600
OVCAR-8 R2;PID3-0726B3;3;B;3030;H2O;7732-18-5;100;%;10;C008;C22;F5;3869720
OVCAR-8 R2;PID3-0726B2;2;B;3060;H2O;7732-18-5;100;%;10;C008;C1;R10;3674320
OVCAR-8 R2;PID3-0726B1;1;B;3117;H2O;7732-18-5;100;%;10;C008;C2;D4;3190880
OVCAR-8 R2;PID3-0726B2;2;B;3198;H2O;7732-18-5;100;%;10;C008;C6;E27;3509480
OVCAR-8 R2;PID3-0726B1;1;B;3202;H2O;7732-18-5;100;%;10;C008;C7;AC3;4080240
OVCAR-8 R2;PID3-0726B2;2;B;3303;H2O;7732-18-5;100;%;10;C008;C8;K29;3819240
OVCAR-8 R2;PID3-0726B1;1;B;3322;H2O;7732-18-5;100;%;10;C008;C10;J19;3828400
OVCAR-8 R2;PID3-0726B3;3;B;3347;H2O;7732-18-5;100;%;10;C008;C11;S28;4102360
