Sample;Drug;Status;Model;ED10;ED50;ED90;minED10;maxED90;avgED10;avgED90;medED10;medED90;Unit
OVCAR-8 R1;Cerdulatinib (PRT062070, PRT2070);responder;LL.4;18380,9578126615;20707,6693472048;23328,9023435867;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;nM
OVCAR-8 R2;Cerdulatinib (PRT062070, PRT2070);failed;NA;NA;NA;NA;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;nM
OVCAR-8 R3;Cerdulatinib (PRT062070, PRT2070);failed;NA;NA;NA;NA;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;18380,9578126615;23328,9023435867;nM
OVCAR-8 R1;Cobimetinib;responder;LL.4;12,5344386226903;715,58509123112;40852,4097653082;12,5344386226903;365427,264276699;34,0639270130416;137333,28313601;39,4690289137411;40852,4097653082;nM
OVCAR-8 R2;Cobimetinib;responder;LL.4;50,1883135026935;535,804026263575;5720,17536602123;12,5344386226903;365427,264276699;34,0639270130416;137333,28313601;39,4690289137411;40852,4097653082;nM
OVCAR-8 R3;Cobimetinib;responder;LL.4;39,4690289137411;3797,77030105908;365427,264276699;12,5344386226903;365427,264276699;34,0639270130416;137333,28313601;39,4690289137411;40852,4097653082;nM
OVCAR-8 R1;Crizotinib (PF-02341066);responder;LL.4;1891,53471502945;6101,29316714142;19680,1983149578;1891,53471502945;21403,0024466997;3139,27288710867;20765,5050087283;3626,10737900685;21213,3142645275;nM
OVCAR-8 R2;Crizotinib (PF-02341066);responder;LL.4;3900,17656728971;9136,49213934222;21403,0024466997;1891,53471502945;21403,0024466997;3139,27288710867;20765,5050087283;3626,10737900685;21213,3142645275;nM
OVCAR-8 R3;Crizotinib (PF-02341066);responder;LL.4;3626,10737900685;8770,50485364408;21213,3142645275;1891,53471502945;21403,0024466997;3139,27288710867;20765,5050087283;3626,10737900685;21213,3142645275;nM
OVCAR-8 R1;Cucurbitacin I (JSI-124);responder;LL.4;59,1445842661999;185,860322203516;584,061242431219;59,1445842661999;4152,02000835411;132,585864794454;2662,65950893422;161,293456682923;3251,89727601732;nM
OVCAR-8 R2;Cucurbitacin I (JSI-124);responder;LL.4;177,319553434239;858,04098604401;4152,02000835411;59,1445842661999;4152,02000835411;132,585864794454;2662,65950893422;161,293456682923;3251,89727601732;nM
OVCAR-8 R3;Cucurbitacin I (JSI-124);responder;LL.4;161,293456682923;724,23045532939;3251,89727601732;59,1445842661999;4152,02000835411;132,585864794454;2662,65950893422;161,293456682923;3251,89727601732;nM
OVCAR-8 R1;Dabrafenib ;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Dabrafenib ;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Dabrafenib ;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Dasatinib (BMS-354825);responder;LL.4;2,07988198898577;76,023219029186;2778,77776824151;0,790421629112787;4555,59888954703;3,05038025305089;2610,72070374023;2,07988198898577;2778,77776824151;nM
OVCAR-8 R2;Dasatinib (BMS-354825);responder;LL.4;6,28083714105412;55,9151979715087;497,785453432135;0,790421629112787;4555,59888954703;3,05038025305089;2610,72070374023;2,07988198898577;2778,77776824151;nM
OVCAR-8 R3;Dasatinib (BMS-354825);responder;LL.4;0,790421629112787;60,0070320534199;4555,59888954703;0,790421629112787;4555,59888954703;3,05038025305089;2610,72070374023;2,07988198898577;2778,77776824151;nM
OVCAR-8 R1;Defactinib (VS-6063, PF-04554878);responder;LL.4;9791,70403820215;11086,8544382779;12553,3146075493;9791,70403820215;37949,9866056118;15134,4217606062;25103,3916838364;16857,7041332541;24806,873838348;nM
OVCAR-8 R2;Defactinib (VS-6063, PF-04554878);responder;LL.4;18753,8571103624;21569,0650543589;24806,873838348;9791,70403820215;37949,9866056118;15134,4217606062;25103,3916838364;16857,7041332541;24806,873838348;nM
OVCAR-8 R3;Defactinib (VS-6063, PF-04554878);responder;LL.4;16857,7041332541;25293,2727431299;37949,9866056118;9791,70403820215;37949,9866056118;15134,4217606062;25103,3916838364;16857,7041332541;24806,873838348;nM
OVCAR-8 R1;Dexamethasone;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Dexamethasone;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Dexamethasone;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Entrektinib (RXDX-101);responder;LL.4;2657,45546583393;4316,02460914295;7009,73870163499;2657,45546583393;10924,0794612049;3186,67445551335;8129,77435016616;3083,09624049491;7009,73870163499;nM
OVCAR-8 R2;Entrektinib (RXDX-101);responder;LL.4;3819,47166021121;6459,42814155922;10924,0794612049;2657,45546583393;10924,0794612049;3186,67445551335;8129,77435016616;3083,09624049491;7009,73870163499;nM
OVCAR-8 R3;Entrektinib (RXDX-101);responder;LL.4;3083,09624049491;4461,27143868616;6455,50488765864;2657,45546583393;10924,0794612049;3186,67445551335;8129,77435016616;3083,09624049491;7009,73870163499;nM
OVCAR-8 R1;Erlotinib;responder;LL.4;2173,66508170463;4546,86670874812;9511,12342059109;2173,66508170463;11070,8341711005;4430,88170535933;8823,18316015908;4899,46401498583;9511,12342059109;nM
OVCAR-8 R2;Erlotinib;responder;LL.4;6219,51601938755;8297,90518595762;11070,8341711005;2173,66508170463;11070,8341711005;4430,88170535933;8823,18316015908;4899,46401498583;9511,12342059109;nM
OVCAR-8 R3;Erlotinib;responder;LL.4;4899,46401498583;5370,8513844667;5887,59188878569;2173,66508170463;11070,8341711005;4430,88170535933;8823,18316015908;4899,46401498583;9511,12342059109;nM
OVCAR-8 R1;Everolimus (RAD001);responder;LL.4;1,53220329685769;12,1312289827266;96,0490797358042;0,831910226270664;744,69025649478;1,18205676156417;420,369668115292;1,18205676156417;420,369668115292;nM
OVCAR-8 R2;Everolimus (RAD001);failed;NA;NA;NA;NA;0,831910226270664;744,69025649478;1,18205676156417;420,369668115292;1,18205676156417;420,369668115292;nM
OVCAR-8 R3;Everolimus (RAD001);responder;LL.4;0,831910226270664;24,8900670907519;744,69025649478;0,831910226270664;744,69025649478;1,18205676156417;420,369668115292;1,18205676156417;420,369668115292;nM
OVCAR-8 R1;Flavopiridol (L86-8275) HCl;responder;LL.4;44,0887776673467;101,878030837606;235,414400590997;28,6787919742467;337,675572242784;49,7029104234342;299,147902511378;44,0887776673467;324,353734700354;nM
OVCAR-8 R2;Flavopiridol (L86-8275) HCl;responder;LL.4;76,3411616287092;157,358002292973;324,353734700354;28,6787919742467;337,675572242784;49,7029104234342;299,147902511378;44,0887776673467;324,353734700354;nM
OVCAR-8 R3;Flavopiridol (L86-8275) HCl;responder;LL.4;28,6787919742467;98,407964571652;337,675572242784;28,6787919742467;337,675572242784;49,7029104234342;299,147902511378;44,0887776673467;324,353734700354;nM
OVCAR-8 R1;Fludarabine (Fludara);responder;LL.4;2642,99903513915;22808,1354784451;196826,043856545;1207,26992495331;196826,043856545;2843,9927372844;76781,4622025924;2642,99903513915;19814,2317871848;nM
OVCAR-8 R2;Fludarabine (Fludara);responder;LL.4;1207,26992495331;4067,50058575495;13704,110964047;1207,26992495331;196826,043856545;2843,9927372844;76781,4622025924;2642,99903513915;19814,2317871848;nM
OVCAR-8 R3;Fludarabine (Fludara);responder;LL.4;4681,70925176075;9631,43147588121;19814,2317871848;1207,26992495331;196826,043856545;2843,9927372844;76781,4622025924;2642,99903513915;19814,2317871848;nM
